latency_ms,status_code
123.649,200
115.874,200
125.783,200
126.424,200
126.490,200
126.619,200
134.864,200
135.243,200
135.378,200
135.560,200
150.864,200
151.129,200
153.165,200
151.685,200
146.214,200
143.327,200
143.283,200
145.108,200
145.287,200
145.465,200
173.266,200
172.863,200
172.457,200
173.334,200
173.509,200
63.606,200
83.088,200
163.168,200
167.631,200
173.179,200
173.035,200
173.525,200
175.095,200
185.294,200
185.195,200
185.527,200
185.827,200
154.395,200
184.650,200
184.908,200
186.433,200
186.323,200
170.161,200
198.278,200
131.638,200
93.029,200
84.267,200
78.038,200
172.347,200
187.029,200
296.727,200
229.427,200
236.809,200
143.868,200
150.172,200
93.197,200
218.753,200
253.564,200
94.211,200
234.918,200
304.837,200
89.936,200
