ts_s,cpu_percent,rss_bytes
5.250000049272785e-05,0.0,49811456
0.500378499999897,0.0,49815552
1.0008126000002449,6.2,52588544
1.5011958000004597,0.0,52588544
2.0020469999999477,0.0,52588544
2.5031574000004184,0.0,52588544
3.0045055000000502,0.0,52588544
3.5051944000006188,0.0,52588544
4.005827400000271,0.0,52588544
4.506873100000121,0.0,52588544
5.007737700000689,0.0,52588544
5.508412099999987,0.0,52588544
6.009264500000427,0.0,52588544
6.509757300000274,0.0,52588544
7.01221010000063,0.0,52588544
7.512551700000586,0.0,52588544
8.014021500000126,0.0,52588544
8.514656400000604,0.0,52588544
9.015418800000589,0.0,52588544
9.519082000000708,0.0,52588544
