ts_s,cpu_percent,rss_bytes
3.96999994336511e-05,0.0,52588544
0.5049835999998322,0.0,52588544
1.0052153999995426,0.0,52588544
1.5055734999996275,0.0,52588544
2.006243299999369,0.0,52588544
2.5072095999994417,0.0,52588544
3.0080623999992895,0.0,52588544
3.5089735000001383,0.0,52588544
4.009480799999437,0.0,52588544
4.509640799999943,0.0,52588544
5.009898799999974,0.0,52588544
5.510409800000161,0.0,52588544
6.011281799999779,0.0,52588544
6.511538499999915,0.0,52588544
7.012263199999325,0.0,52588544
7.513225699999566,0.0,52588544
8.013727499999732,0.0,52588544
8.515784100000019,0.0,52588544
9.016311399999722,0.0,52588544
9.518619800000124,0.0,52588544
