latency_ms,status_code
128.386,200
148.503,200
147.828,200
147.250,200
143.648,200
142.095,200
147.487,200
151.126,200
155.601,200
155.731,200
156.086,200
156.289,200
158.855,200
159.209,200
170.923,200
164.041,200
163.158,200
160.264,200
159.958,200
162.637,200
162.192,200
162.537,200
162.929,200
160.005,200
163.210,200
118.717,200
140.559,200
167.201,200
179.591,200
163.255,200
138.595,200
266.257,200
101.245,200
117.601,200
333.138,200
321.615,200
373.276,200
342.608,200
388.784,200
383.599,200
306.340,200
77.140,200
456.228,200
84.440,200
455.444,200
475.620,200
303.920,200
379.331,200
320.174,200
153.491,200
155.611,200
84.481,200
327.090,200
80.592,200
88.261,200
191.265,200
286.644,200
