ts_s,cpu_percent,rss_bytes
4.4499999603431206e-05,0.0,54919168
0.5006163999996716,0.0,54919168
1.001146300000073,0.0,54919168
1.5014433999995163,0.0,54919168
2.001880199999505,0.0,54919168
2.5026200000002063,0.0,54919168
3.0034703000001173,0.0,54919168
3.5036558000001605,0.0,54919168
4.0038236000000325,0.0,54919168
4.505605199999991,0.0,54919168
5.0092737999993915,0.0,54919168
5.5104418999999325,0.0,54919168
6.0127683999999135,0.0,54919168
6.513697299999876,0.0,54919168
7.013878499999919,0.0,54919168
7.514400999999452,0.0,54919168
8.014731199999915,0.0,54919168
8.514908399999513,0.0,54919168
9.015112999999474,0.0,54919168
9.515500499999689,0.0,54919168
