ts_s,cpu_percent,rss_bytes
3.950000063923653e-05,0.0,53346304
0.5004321000005802,0.0,53346304
1.0174049000006562,6.0,54910976
1.5180261000004975,3.1,54919168
2.0182314000003316,0.0,54919168
2.5188019000006534,0.0,54919168
3.019101600000795,0.0,54919168
3.5192856000003303,0.0,54919168
4.019647900000564,0.0,54919168
4.519849200000863,0.0,54919168
5.020170700000563,0.0,54919168
5.5205033000002,0.0,54919168
6.020856200000708,0.0,54919168
6.521472700000231,0.0,54919168
7.022006000000147,0.0,54919168
7.5222120000007635,0.0,54919168
8.022874100000081,0.0,54919168
8.523551700000098,0.0,54919168
9.02426270000069,0.0,54919168
9.525994900000114,0.0,54919168
